,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
47,fa cheesecake,"MannwhitneyuResult(statistic=177.5, pvalue=0.34665910617741524)","MannwhitneyuResult(statistic=110.5, pvalue=0.18409938436902679)","MannwhitneyuResult(statistic=146.5, pvalue=0.26533710413293032)","MannwhitneyuResult(statistic=214.0, pvalue=0.4521904594167665)","MannwhitneyuResult(statistic=142.0, pvalue=0.25404559486595291)","MannwhitneyuResult(statistic=135.0, pvalue=0.23747231191784007)"
48,kentucky bourbon,"MannwhitneyuResult(statistic=64.0, pvalue=0.10621307251122042)","MannwhitneyuResult(statistic=224.0, pvalue=0.48198196885981526)","MannwhitneyuResult(statistic=165.5, pvalue=0.31408233799270879)","MannwhitneyuResult(statistic=70.0, pvalue=0.11482022230782535)","MannwhitneyuResult(statistic=33.5, pvalue=0.069731231371719757)","MannwhitneyuResult(statistic=40.5, pvalue=0.07705669131092896)"
49,waffle cap,"MannwhitneyuResult(statistic=62.5, pvalue=0.10416532238168402)","MannwhitneyuResult(statistic=98.5, pvalue=0.16104049457288783)","MannwhitneyuResult(statistic=77.5, pvalue=0.12608978251017799)","MannwhitneyuResult(statistic=45.5, pvalue=0.082990930198360902)","MannwhitneyuResult(statistic=128.5, pvalue=0.22263042764670371)","MannwhitneyuResult(statistic=121.5, pvalue=0.20725470785193134)"
50,gummy candy,"MannwhitneyuResult(statistic=212.0, pvalue=0.44622413706817127)","MannwhitneyuResult(statistic=208.5, pvalue=0.43569410658169277)","MannwhitneyuResult(statistic=223.0, pvalue=0.47904093348955967)","MannwhitneyuResult(statistic=154.5, pvalue=0.28539881111354404)","MannwhitneyuResult(statistic=148.0, pvalue=0.26871458759562217)","MannwhitneyuResult(statistic=155.0, pvalue=0.28635676677596389)"
51,boom,"MannwhitneyuResult(statistic=90.0, pvalue=0.1464906355024217)","MannwhitneyuResult(statistic=72.0, pvalue=0.11707533525952862)","MannwhitneyuResult(statistic=86.0, pvalue=0.13979343865145094)","MannwhitneyuResult(statistic=103.0, pvalue=0.17016346954574774)","MannwhitneyuResult(statistic=192.5, pvalue=0.38896330450124578)","MannwhitneyuResult(statistic=199.5, pvalue=0.40928759510402396)"
52,peanut butter v,"MannwhitneyuResult(statistic=194.5, pvalue=0.39486653905468783)","MannwhitneyuResult(statistic=170.5, pvalue=0.32706437225733653)","MannwhitneyuResult(statistic=185.5, pvalue=0.36913856464411071)","MannwhitneyuResult(statistic=154.5, pvalue=0.28539881111354404)","MannwhitneyuResult(statistic=148.0, pvalue=0.26871458759562217)","MannwhitneyuResult(statistic=155.0, pvalue=0.28635676677596389)"
53,vanilla custard v,"MannwhitneyuResult(statistic=8.5, pvalue=0.048077410207386095)","MannwhitneyuResult(statistic=5.5, pvalue=0.045468328413085866)","MannwhitneyuResult(statistic=7.0, pvalue=0.047022821105188857)","MannwhitneyuResult(statistic=154.5, pvalue=0.28539881111354404)","MannwhitneyuResult(statistic=148.0, pvalue=0.26871458759562217)","MannwhitneyuResult(statistic=155.0, pvalue=0.28635676677596389)"
54,gingerbread,"MannwhitneyuResult(statistic=212.0, pvalue=0.44622413706817127)","MannwhitneyuResult(statistic=139.0, pvalue=0.24660023604394721)","MannwhitneyuResult(statistic=185.5, pvalue=0.36913856464411071)","MannwhitneyuResult(statistic=33.5, pvalue=0.070062258944183123)","MannwhitneyuResult(statistic=47.0, pvalue=0.084369275105016739)","MannwhitneyuResult(statistic=54.0, pvalue=0.092813931926139848)"
55,apple pie,"MannwhitneyuResult(statistic=68.5, pvalue=0.11254574596512196)","MannwhitneyuResult(statistic=70.5, pvalue=0.1148698585546718)","MannwhitneyuResult(statistic=75.5, pvalue=0.12300633283375606)","MannwhitneyuResult(statistic=54.5, pvalue=0.093808961804879964)","MannwhitneyuResult(statistic=201.5, pvalue=0.41514223003277706)","MannwhitneyuResult(statistic=194.5, pvalue=0.39474194648856137)"
56,cappuccino,"MannwhitneyuResult(statistic=108.5, pvalue=0.18071543166550486)","MannwhitneyuResult(statistic=139.0, pvalue=0.24660023604394721)","MannwhitneyuResult(statistic=116.0, pvalue=0.19600224090400847)","MannwhitneyuResult(statistic=74.5, pvalue=0.12150462340058615)","MannwhitneyuResult(statistic=152.0, pvalue=0.27873421529048792)","MannwhitneyuResult(statistic=145.0, pvalue=0.26133015461020792)"
