,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
103,raspberry w,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=0.90726683403318487, pvalue=0.3642657083570856)","RanksumsResult(statistic=1.0009927466399189, pvalue=0.31683031508867787)","RanksumsResult(statistic=0.94100816257160902, pvalue=0.34670067620273215)","RanksumsResult(statistic=0.95225527208441718, pvalue=0.34096753571289717)"
82,ccls,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.1359580607936157, pvalue=0.25597411696398742)","RanksumsResult(statistic=1.1359580607936157, pvalue=0.25597411696398742)","RanksumsResult(statistic=1.0797225132295754, pvalue=0.28026576549398885)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
101,coconut diy,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=0.90726683403318487, pvalue=0.3642657083570856)","RanksumsResult(statistic=1.0009927466399189, pvalue=0.31683031508867787)","RanksumsResult(statistic=0.96725141810149462, pvalue=0.33341836360671895)","RanksumsResult(statistic=0.96725141810149462, pvalue=0.33341836360671895)"
61,capella ca,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.297166630477198, pvalue=0.19457385962529061)","RanksumsResult(statistic=1.2409310829131577, pvalue=0.2146312090407505)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
2,vanilla bean gelato,"RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.7095606459468276, pvalue=0.087347148162458824)","RanksumsResult(statistic=1.6195837698443629, pvalue=0.10532171835211786)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
164,white out,0,0,0,0,0,0
192,banana gone nut,0,0,0,0,0,0
81,yellow cupcake,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.1359580607936157, pvalue=0.25597411696398742)","RanksumsResult(statistic=1.1359580607936157, pvalue=0.25597411696398742)","RanksumsResult(statistic=1.0797225132295754, pvalue=0.28026576549398885)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
233,apple sour,0,0,0,0,0,0
419,beer hang,0,0,0,0,0,0
252,fruity flake,0,0,0,0,0,0
46,fa orange,"RanksumsResult(statistic=1.3983906160924708, pvalue=0.1619957995507868)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.3908925430839321, pvalue=0.16425801438537213)","RanksumsResult(statistic=1.3871435065796627, pvalue=0.16539800785016157)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
323,vanilla raspberry,0,0,0,0,0,0
425,tfa sour,0,0,0,0,0,0
372,boysenberry,0,0,0,0,0,0
434,candy corn,0,0,0,0,0,0
196,sour raspberry,0,0,0,0,0,0
41,holiday spice,"RanksumsResult(statistic=1.3983906160924708, pvalue=0.1619957995507868)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)","RanksumsResult(statistic=1.4808694191863967, pvalue=0.13864137348137903)","RanksumsResult(statistic=1.3908925430839321, pvalue=0.16425801438537213)","RanksumsResult(statistic=1.4208848351180869, pvalue=0.15535024234365868)","RanksumsResult(statistic=1.4171357986138176, pvalue=0.15644322787991516)"
209,tfa caramel candy,0,0,0,0,0,0
393,butter toffee,0,0,0,0,0,0
199,acai berry,0,0,0,0,0,0
240,caramel candy,0,0,0,0,0,0
108,capella blueberry,"RanksumsResult(statistic=1.0459811846911511, pvalue=0.29556971942201793)","RanksumsResult(statistic=0.95975334509295585, pvalue=0.33717936825401251)","RanksumsResult(statistic=0.90726683403318487, pvalue=0.3642657083570856)","RanksumsResult(statistic=1.0009927466399189, pvalue=0.31683031508867787)","RanksumsResult(statistic=0.91476490704172353, pvalue=0.36031506142351966)","RanksumsResult(statistic=0.91476490704172353, pvalue=0.36031506142351966)"
