,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
13,vanilla butter,"RanksumsResult(statistic=1.6306113211407589, pvalue=0.10297235882270343)","RanksumsResult(statistic=-0.19912995396419406, pvalue=0.84216109053312527)","RanksumsResult(statistic=1.6268541521980382, pvalue=0.10376807731288848)","RanksumsResult(statistic=1.4652958876610505, pvalue=0.14284020801444056)","RanksumsResult(statistic=-1.6719401795106859, pvalue=0.094536118714842812)","RanksumsResult(statistic=1.7245405447087749, pvalue=0.084610306139153046)"
14,black honey tobacco,"RanksumsResult(statistic=0.33438803590213717, pvalue=0.73808676630872405)","RanksumsResult(statistic=1.3037376231240629, pvalue=0.19232305687010454)","RanksumsResult(statistic=0.75519095748684917, pvalue=0.45013441349304983)","RanksumsResult(statistic=-0.3531738806157404, pvalue=0.72395808802476447)","RanksumsResult(statistic=-1.3676094951503139, pvalue=0.17143434273459179)","RanksumsResult(statistic=1.4202098603484028, pvalue=0.15554659387794492)"
15,aromatic,"RanksumsResult(statistic=-0.093929223568016057, pvalue=0.92516537940628862)","RanksumsResult(statistic=0.83784867422670328, pvalue=0.4021156978671776)","RanksumsResult(statistic=0.15028675770882569, pvalue=0.88053838015002961)","RanksumsResult(statistic=-0.60866136872074406, pvalue=0.5427489181056826)","RanksumsResult(statistic=-0.92802072885199871, pvalue=0.353396817169771)","RanksumsResult(statistic=0.98062109405008768, pvalue=0.32677962814848338)"
16,yogurt v,"RanksumsResult(statistic=0.075143378854412843, pvalue=0.94010063403101307)","RanksumsResult(statistic=0.51848931409544863, pvalue=0.6041169138215583)","RanksumsResult(statistic=0.2479731502195624, pvalue=0.80415518112267348)","RanksumsResult(statistic=-0.3531738806157404, pvalue=0.72395808802476447)","RanksumsResult(statistic=-0.43583159735559451, pvalue=0.66295891687628861)","RanksumsResult(statistic=0.48843196255368349, pvalue=0.62524390684807385)"
17,yellow cake,"RanksumsResult(statistic=-0.93553506673743991, pvalue=0.34951262034291608)","RanksumsResult(statistic=-0.19912995396419406, pvalue=0.84216109053312527)","RanksumsResult(statistic=-0.82281999845582066, pvalue=0.41061036239613569)","RanksumsResult(statistic=-1.2436229200405327, pvalue=0.21363837658583074)","RanksumsResult(statistic=-0.96934958722192577, pvalue=0.33237079609483999)","RanksumsResult(statistic=1.0219499524200146, pvalue=0.30680458835706659)"
18,butter caramel,"RanksumsResult(statistic=0.33438803590213717, pvalue=0.73808676630872405)","RanksumsResult(statistic=1.3037376231240629, pvalue=0.19232305687010454)","RanksumsResult(statistic=0.75519095748684917, pvalue=0.45013441349304983)","RanksumsResult(statistic=-0.3531738806157404, pvalue=0.72395808802476447)","RanksumsResult(statistic=-1.3676094951503139, pvalue=0.17143434273459179)","RanksumsResult(statistic=1.4202098603484028, pvalue=0.15554659387794492)"
19,coconut candy,"RanksumsResult(statistic=0.18785844713603211, pvalue=0.8509876171077333)","RanksumsResult(statistic=-0.62369004449162668, pvalue=0.53283116243344486)","RanksumsResult(statistic=-0.30057351541765137, pvalue=0.7637397296931896)","RanksumsResult(statistic=1.4051811845775202, pvalue=0.15996740765780093)","RanksumsResult(statistic=1.3751238330357551, pvalue=0.16909305669221186)","RanksumsResult(statistic=-1.3225234678376661, pvalue=0.18599390001912186)"
20,vanilla swirl,"RanksumsResult(statistic=-0.7814911400858936, pvalue=0.43451368566557391)","RanksumsResult(statistic=0.51848931409544863, pvalue=0.6041169138215583)","RanksumsResult(statistic=-0.59738986189258214, pvalue=0.55024712082239779)","RanksumsResult(statistic=-1.1309078517589133, pvalue=0.25809387818793128)","RanksumsResult(statistic=-1.0482501350190592, pvalue=0.29452337730966915)","RanksumsResult(statistic=1.1008505002171483, pvalue=0.27096172857747802)"
21,cola,"RanksumsResult(statistic=-1.5517107733436253, pvalue=0.12073144373983198)","RanksumsResult(statistic=-1.4765673944892124, pvalue=0.13979163723922652)","RanksumsResult(statistic=-1.5216534218018603, pvalue=0.12809594427381241)","RanksumsResult(statistic=-1.6418828279689208, pvalue=0.10061428925744689)","RanksumsResult(statistic=-0.60490419977802345, pvalue=0.54524265247860115)","RanksumsResult(statistic=0.65750456497611243, pvalue=0.51085653668450215)"
22,cpa,"RanksumsResult(statistic=-1.1083648381025895, pvalue=0.26770428396260471)","RanksumsResult(statistic=-1.3488236504367106, pvalue=0.17739361627703321)","RanksumsResult(statistic=-1.1910225548424436, pvalue=0.23364473056922463)","RanksumsResult(statistic=1.5592251112290665, pvalue=0.11894310941680074)","RanksumsResult(statistic=0.98062109405008768, pvalue=0.32677962814848338)","RanksumsResult(statistic=-0.92802072885199871, pvalue=0.353396817169771)"
