,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
14,black honey tobacco,"MannwhitneyuResult(statistic=185.5, pvalue=0.37023083040547244)","MannwhitneyuResult(statistic=56.5, pvalue=0.095842720957624195)","MannwhitneyuResult(statistic=129.5, pvalue=0.22585600852866217)","MannwhitneyuResult(statistic=183.0, pvalue=0.36321049639293268)","MannwhitneyuResult(statistic=48.0, pvalue=0.085640023711185065)","MannwhitneyuResult(statistic=41.0, pvalue=0.077677771169153129)"
15,aromatic,"MannwhitneyuResult(statistic=217.5, pvalue=0.46400933431740926)","MannwhitneyuResult(statistic=118.5, pvalue=0.20111962720176985)","MannwhitneyuResult(statistic=210.0, pvalue=0.44166562513571878)","MannwhitneyuResult(statistic=149.0, pvalue=0.27235114120124737)","MannwhitneyuResult(statistic=106.5, pvalue=0.17694875682014533)","MannwhitneyuResult(statistic=99.5, pvalue=0.16358868016686684)"
16,yogurt v,"MannwhitneyuResult(statistic=220.0, pvalue=0.47149286319850153)","MannwhitneyuResult(statistic=161.0, pvalue=0.3026060623388438)","MannwhitneyuResult(statistic=197.0, pvalue=0.40339069479730316)","MannwhitneyuResult(statistic=183.0, pvalue=0.36321049639293268)","MannwhitneyuResult(statistic=172.0, pvalue=0.33236920305584028)","MannwhitneyuResult(statistic=165.0, pvalue=0.31343402463450065)"
17,yellow cake,"MannwhitneyuResult(statistic=105.5, pvalue=0.17528364371440242)","MannwhitneyuResult(statistic=203.5, pvalue=0.42222759792905118)","MannwhitneyuResult(statistic=120.5, pvalue=0.20602809759795371)","MannwhitneyuResult(statistic=64.5, pvalue=0.10720483624616939)","MannwhitneyuResult(statistic=101.0, pvalue=0.16639498211644738)","MannwhitneyuResult(statistic=94.0, pvalue=0.1535635522886668)"
18,butter caramel,"MannwhitneyuResult(statistic=185.5, pvalue=0.37023083040547244)","MannwhitneyuResult(statistic=56.5, pvalue=0.095842720957624195)","MannwhitneyuResult(statistic=129.5, pvalue=0.22585600852866217)","MannwhitneyuResult(statistic=183.0, pvalue=0.36321049639293268)","MannwhitneyuResult(statistic=48.0, pvalue=0.085640023711185065)","MannwhitneyuResult(statistic=41.0, pvalue=0.077677771169153129)"
19,coconut candy,"MannwhitneyuResult(statistic=205.0, pvalue=0.42683418753420188)","MannwhitneyuResult(statistic=147.0, pvalue=0.26679093140353316)","MannwhitneyuResult(statistic=190.0, pvalue=0.38313488266136886)","MannwhitneyuResult(statistic=43.0, pvalue=0.080262763186501884)","MannwhitneyuResult(statistic=47.0, pvalue=0.084486631896534825)","MannwhitneyuResult(statistic=54.0, pvalue=0.092959082507130419)"
20,vanilla swirl,"MannwhitneyuResult(statistic=126.0, pvalue=0.21794195209315798)","MannwhitneyuResult(statistic=161.0, pvalue=0.3026060623388438)","MannwhitneyuResult(statistic=150.5, pvalue=0.27608377059258049)","MannwhitneyuResult(statistic=79.5, pvalue=0.12951969535404834)","MannwhitneyuResult(statistic=90.5, pvalue=0.14740032129617137)","MannwhitneyuResult(statistic=83.5, pvalue=0.13557727520916074)"
21,cola,"MannwhitneyuResult(statistic=23.5, pvalue=0.060475160482694468)","MannwhitneyuResult(statistic=33.5, pvalue=0.069567411473339877)","MannwhitneyuResult(statistic=27.5, pvalue=0.064236271606719034)","MannwhitneyuResult(statistic=11.5, pvalue=0.050468728393251366)","MannwhitneyuResult(statistic=149.5, pvalue=0.27326662142890468)","MannwhitneyuResult(statistic=142.5, pvalue=0.2560013890452012)"
22,cpa,"MannwhitneyuResult(statistic=82.5, pvalue=0.134225505791981)","MannwhitneyuResult(statistic=50.5, pvalue=0.088389662801962476)","MannwhitneyuResult(statistic=71.5, pvalue=0.11721382999818053)","MannwhitneyuResult(statistic=22.5, pvalue=0.059669148317460972)","MannwhitneyuResult(statistic=99.5, pvalue=0.16358871742278835)","MannwhitneyuResult(statistic=106.5, pvalue=0.17694879388849022)"
23,zebra,"MannwhitneyuResult(statistic=71.5, pvalue=0.11712848622283595)","MannwhitneyuResult(statistic=36.0, pvalue=0.072123660018179783)","MannwhitneyuResult(statistic=69.5, pvalue=0.11427903356960811)","MannwhitneyuResult(statistic=7.5, pvalue=0.047417805789989421)","MannwhitneyuResult(statistic=31.5, pvalue=0.067805849567629667)","MannwhitneyuResult(statistic=38.5, pvalue=0.074993926082053283)"
24,zombie killer,"MannwhitneyuResult(statistic=185.5, pvalue=0.37023083040547244)","MannwhitneyuResult(statistic=165.0, pvalue=0.31322863004883356)","MannwhitneyuResult(statistic=202.5, pvalue=0.41949371532910651)","MannwhitneyuResult(statistic=53.0, pvalue=0.092078466705843298)","MannwhitneyuResult(statistic=47.0, pvalue=0.084486631896534825)","MannwhitneyuResult(statistic=54.0, pvalue=0.092959082507130419)"
