,Flavor Name,Positive,Negative,Total,Difference,Percent_Positive,Percent_Negative
16,yogurt v,"MannwhitneyuResult(statistic=14.5, pvalue=0.052724195078940057)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=17.0, pvalue=0.054894921724723961)","MannwhitneyuResult(statistic=14.5, pvalue=0.052457065437173982)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
59,e cardamom,"MannwhitneyuResult(statistic=91.0, pvalue=0.14816801701822857)","MannwhitneyuResult(statistic=41.5, pvalue=0.077929843018212513)","MannwhitneyuResult(statistic=33.0, pvalue=0.069465011443945915)","MannwhitneyuResult(statistic=57.5, pvalue=0.097646563259172203)","MannwhitneyuResult(statistic=65.0, pvalue=0.10721165319120812)","MannwhitneyuResult(statistic=41.5, pvalue=0.078028284874982187)"
409,fa bavarian cream,0,0,0,0,0,0
340,cap sugar cookie,0,0,0,0,0,0
348,dutch apple pie,0,0,0,0,0,0
281,blue raspberry fl,0,0,0,0,0,0
137,tart sour,"MannwhitneyuResult(statistic=137.5, pvalue=0.24355016640661897)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=135.5, pvalue=0.23891214920228798)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=138.5, pvalue=0.24558044260788675)"
161,chestnut,"MannwhitneyuResult(statistic=167.0, pvalue=0.31799856575474872)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=154.5, pvalue=0.28532520199968558)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=165.0, pvalue=0.31239513105812011)"
459,cherry limeade,0,0,0,0,0,0
155,orange cream,"MannwhitneyuResult(statistic=167.0, pvalue=0.31799856575474872)","MannwhitneyuResult(statistic=144.0, pvalue=0.25868421242436912)","MannwhitneyuResult(statistic=154.5, pvalue=0.28532520199968558)","MannwhitneyuResult(statistic=153.0, pvalue=0.28159554498260825)","MannwhitneyuResult(statistic=153.0, pvalue=0.2811670593114502)","MannwhitneyuResult(statistic=155.5, pvalue=0.28755163590758714)"
